model,training_seed,axis,level_s,evaluation_seeds,mean_pickups,mean_degradation_rate,faithfulness_records,stale_exposed_records,paired_stale_exposed_records,mean_primary_type_matched_def,mean_standard_type_matched_def_sensitivity,mean_action_protected_def_m,mean_attention_drift,mean_stale_attention_share_when_exposed,mean_stale_attention_mass_when_exposed,mean_stale_attention_shift_when_exposed,stale_in_top3_rate_when_exposed,mean_wamsn_when_exposed_secondary,mean_paired_primary_type_matched_def_delta,mean_paired_primary_type_matched_def_m_delta
H5_gat_degraded,43,outage_duration,20.0,8,12.270833333333334,0.01647854439403708,984,614,614,-0.0004082733236867871,0.004709732875710837,-0.002296425490618841,1.6406542279870915e-05,0.16580699209596136,0.13504019124388097,-0.0008604085150657868,0.8143322475570033,0.040110850974281985,9.02843777895233e-05,0.000592049051897275
H5_gat_degraded,43,outage_duration,30.0,8,12.270833333333334,0.024022169215088658,1222,868,868,-0.0005054724475664229,-0.0009272483009302505,-0.002655423780387018,2.0463179636193335e-05,0.16569669284219038,0.12939170225989202,-0.0007746293666500409,0.6682027649769585,0.052577973062511094,0.00013124985926528482,0.0008230330516940437
H5_gat_degraded,43,outage_duration,60.0,8,12.270833333333334,0.03164868378758348,1531,1217,1217,-0.0008115494054831882,-0.00025398457886079514,-0.004565641654521577,2.3186220188091326e-05,0.16625462110686876,0.11930280101757076,-0.0004845654094322882,0.47658175842235007,0.07367821159310613,0.00014936400195305642,0.0009314690476017633
H5_gat_degraded,44,clean,0.0,8,12.8125,0.0,398,0,0,-9.885928134748254e-05,-8.068171249745527e-06,-0.0005133265313901463,0.0,,,,,,,
H5_gat_degraded,44,outage_duration,10.0,8,12.8125,0.008131432989178143,733,335,335,-2.117280286546841e-05,-6.8842795478364805e-06,-2.2781138937528485e-05,3.004147273826773e-05,0.16677879477231114,0.15402568412465992,-0.0018490057856191341,0.0,0.027796466623784426,5.410290772642067e-05,0.00017345147049842186
H5_gat_degraded,44,outage_duration,20.0,8,12.8125,0.015706342707681203,989,607,607,3.7477962869024415e-05,-6.2613756972743295e-06,0.0003776104961472907,4.8802705419988886e-05,0.165280739404108,0.14909836617752703,-0.0022543928240088607,0.0032948929159802307,0.03975286263114794,0.00010775558114510067,0.0003223475370042636
H5_gat_degraded,44,outage_duration,30.0,8,12.8125,0.022895317606287175,1217,851,851,6.775982060083533e-05,-3.622690836588541e-06,0.000611924080215743,6.177867105827831e-05,0.1642978659464574,0.14478806011005024,-0.0025912712400675514,0.01880141010575793,0.05155819643734153,0.00013919628359876412,0.00043845675258958895
H5_gat_degraded,44,outage_duration,60.0,8,12.6875,0.03163863355658875,1514,1193,1193,8.907959624125519e-05,-1.4720006507271406e-06,0.0006515106667624617,7.5054179468332e-05,0.16334270956943397,0.13696075693155702,-0.0030907280646294715,0.04274937133277452,0.07161568055037038,0.00019141717700193515,0.0006120687607726795
H5_gat_degraded,45,clean,0.0,8,12.8125,0.0,397,0,0,4.084321085586914e-05,5.750761579890604e-06,0.00021850471361656103,0.0,,,,,,,
H5_gat_degraded,45,outage_duration,10.0,8,12.8125,0.008187899891162425,734,337,337,1.1847203489745802e-05,2.607578116149479e-06,5.981072087374748e-05,4.159890356245357e-05,0.17105511273850077,0.1513467579565404,0.0033983568835123617,0.857566765578635,0.02850918630605673,-6.109122352713333e-06,-2.31003725917827e-05
